name,hockeydb,nhl,fhl,hockey-reference
Paul Healey,18623,UFA,Paul Healey,Paul Healey
Patrick Boileau,18624,UFA,Patrick Boileau,Patrick Boileau
Andre Roy,18625,UFA,Andre Roy,Andre Roy
Mike Wilson,18626,UFA,Mike Wilson,Mike Wilson
Andreas Johansson,18629,UFA,Andreas Johansson,Andreas Johansson
Jason Strudwick,18630,UFA,Jason Strudwick,Jason Strudwick
Ruslan Salei,18826,UFA,Ruslan Salei,Ruslan Salei
Anders Myrvold,18938,UFA,Anders Myrvold,Anders Myrvold
Mathieu Dandenault,18939,UFA,Mathieu Dandenault,Mathieu Dandenault
Marcus Ragnarsson,18940,UFA,Marcus Ragnarsson,Marcus Ragnarsson
Ricard Persson,18942,UFA,Ricard Persson,Ricard Persson
Leif Rohlin,18943,UFA,Leif Rohlin,Leif Rohlin
Steve Webb,19006,UFA,Steve Webb,Steve Webb
Johan Hedberg,19097,UFA,Johan Hedberg,Johan Hedberg
Andreas Dackell,19104,UFA,Andreas Dackell,Andreas Dackell
Tomas Holmstrom,19107,UFA,Tomas Holmstrom,Tomas Holmstrom
Espen Knutsen,19131,UFA,Espen Knutsen,Espen Knutsen
Mika Alatalo,19175,UFA,Mika Alatalo,Mika Alatalo
Petri Varis,19180,UFA,Petri Varis,Petri Varis
Petteri Nummelin,19188,UFA,Petteri Nummelin,Petteri Nummelin
Byron Ritchie,19200,UFA,Byron Ritchie,Byron Ritchie
Pavel Torgayev,19283,UFA,Pavel Torgayev,Pavel Torgayev
Brett McLean,19300,UFA,Brett McLean,Brett McLean
Daniel Cleary,19301,UFA,Daniel Cleary,Dan Cleary
Arron Asham,19303,UFA,Arron Asham,Arron Asham
Daniel Corso,19304,UFA,Daniel Corso,Daniel Corso
Josh Holden,19307,UFA,Josh Holden,Josh Holden
Zenith Komarniski,19310,UFA,Zenith Komarniski,Zenith Komarniski
Chris Phillips,19311,UFA,Chris Phillips,Chris Phillips
Cory Sarich,19313,UFA,Cory Sarich,Cory Sarich
Joey Tetarenko,19317,UFA,Joey Tetarenko,Joey Tetarenko
Mathieu Garon,19319,UFA,Mathieu Garon,Mathieu Garon
Marc Denis,19320,UFA,Marc Denis,Marc Denis
Denis Gauthier,19321,UFA,Denis Gauthier,Denis Gauthier
Jamie Wright,19322,UFA,Jamie Wright,Jamie Wright
Mike Watt,19323,UFA,Mike Watt,Mike Watt
Hnat Domenichelli,19325,UFA,Hnat Domenichelli,Hnat Domenichelli
Marek Posmyk,19328,UFA,Marek Posmyk,Marek Posmyk
Ales Pisa,19331,UFA,Ales Pisa,Ales Pisa
Toni Lydman,19334,UFA,Toni Lydman,Toni Lydman
Alexei Morozov,19335,UFA,Alexei Morozov,Alexei Morozov
Tom Poti,19341,UFA,Tom Poti,Tom Poti
Peter Schaefer,19344,UFA,Peter Schaefer,Peter Schaefer
Martin Biron,19345,UFA,Martin Biron,Martin Biron
Sean Brown,19346,UFA,Sean Brown,Sean Brown
Brad Isbister,19347,UFA,Brad Isbister,Brad Isbister
Georges Laraque,19350,UFA,Georges Laraque,Georges Laraque
Chris McAllister,19351,UFA,Chris McAllister,Chris McAllister
Nathan Perrott,19354,UFA,Nathan Perrott,Nathan Perrott
Mike Leclerc,19359,UFA,Mike Leclerc,Mike Leclerc
Shane Willis,19360,UFA,Shane Willis,Shane Willis
Josh Green,19368,UFA,Josh Green,Josh Green
Chris Hajt,19369,UFA,Chris Hajt,Chris Hajt
Dan LaCouture,19371,UFA,Dan LaCouture,Dan LaCouture
Andrei Zyuzin,19374,UFA,Andrei Zyuzin,Andrei Zyuzin
Jeff Cowan,19376,UFA,Jeff Cowan,Jeff Cowan
Matt Bradley,20194,UFA,Matt Bradley,Matt Bradley
Jan Bulis,20196,UFA,Jan Bulis,Jan Bulis
Boyd Devereaux,20198,UFA,Boyd Devereaux,Boyd Devereaux
J.P. Dumont,20200,UFA,J.P. Dumont,J.P. Dumont
Matt Higgins,20201,UFA,Matt Higgins,Matt Higgins
Craig Hillier,20202,UFA,Craig Hillier,Craig Hillier
Dan Focht,20203,UFA,Dan Focht,Dan Focht
Remi Royer,20208,UFA,Remi Royer,Remi Royer
Jaroslav Svejkovsky,20209,UFA,Jaroslav Svejkovsky,Jaroslav Svejkovsky
Jesse Wallin,20211,UFA,Jesse Wallin,Jesse Wallin
Lance Ward,20213,UFA,Lance Ward,Lance Ward
Ryan Johnson1,20431,UFA,Ryan Johnson1,Ryan Johnson1
Alexander Korolyuk,20488,UFA,Alexander Korolyuk,Alexander Korolyuk
Samuel Pahlsson,20491,UFA,Samuel Pahlsson,Samuel Pahlsson
Patrik Elias,21469,UFA,Patrik Elias,Patrik Elias
Pavel Trnka,21473,UFA,Pavel Trnka,Pavel Trnka
Frank Banham,21474,UFA,Frank Banham,Frank Banham
Eric Landry,21479,UFA,Eric Landry,Eric Landry
Eric Messier,21486,UFA,Eric Messier,Eric Messier
Colin Forbes,21489,UFA,Colin Forbes,Colin Forbes
Richard Zednik,21494,UFA,Richard Zednik,Richard Zednik
Kevin Sawyer,21497,UFA,Kevin Sawyer,Kevin Sawyer
Rocky Thompson,21499,UFA,Rocky Thompson,Rocky Thompson
Yannick Tremblay,21502,UFA,Yannick Tremblay,Yannick Tremblay
Tyson Nash,21511,UFA,Tyson Nash,Tyson Nash
Bert Robertsson,21512,UFA,Bert Robertsson,Bert Robertsson
Brent Sopel,21513,UFA,Brent Sopel,Brent Sopel
Christer Olsson,21514,UFA,Christer Olsson,Christer Olsson
Harry York,21515,UFA,Harry York,Harry York
Garrett Burnett,21547,UFA,Garrett Burnett,Garrett Burnett
Glen Metropolit,21572,UFA,Glen Metropolit,Glen Metropolit
Sergei Gusev,21738,UFA,Sergei Gusev,Sergei Gusev
Robert Dome,21739,UFA,Robert Dome,Robert Dome
Mike Johnson,21941,UFA,Mike Johnson,Mike Johnson
Bates Battaglia,21984,UFA,Bates Battaglia,Bates Battaglia
John Grahame,21996,UFA,John Grahame,John Grahame
Randy Robitaille,21999,UFA,Randy Robitaille,Randy Robitaille
Dan Boyle,22001,UFA,Dan Boyle,Dan Boyle
Bill Muckalt,22015,UFA,Bill Muckalt,Bill Muckalt
Matt Herr,22016,UFA,Matt Herr,Matt Herr
Greg Crozier,22017,UFA,Greg Crozier,Greg Crozier
Marty Turco,22022,UFA,Marty Turco,Marty Turco
Mike York,22025,UFA,Mike York,Mike York
Bryan Adams,22031,UFA,Bryan Adams,Bryan Adams
Joe Corvo,22067,UFA,Joe Corvo,Joe Corvo
Jean-Marc Pelletier,22104,UFA,Jean-Marc Pelletier,Jean-Marc Pelletier
Steve Sullivan,22120,UFA,Steve Sullivan,Steve Sullivan
Shawn Bates,22501,UFA,Shawn Bates,Shawn Bates
Mike Grier,22502,UFA,Mike Grier,Mike Grier
Steve McKenna,22548,UFA,Steve McKenna,Steve McKenna
Hal Gill,22567,UFA,Hal Gill,Hal Gill
Clarke Wilm,22583,UFA,Clarke Wilm,Clarke Wilm
Antti Laaksonen,22601,UFA,Antti Laaksonen,Antti Laaksonen
Brad Lukowich,22629,UFA,Brad Lukowich,Brad Lukowich
Roman Turek,22630,UFA,Roman Turek,Roman Turek
Sergei Vyshedkevich,22706,UFA,Sergei Vyshedkevich,Sergei Vyshedkevich
Eric Houde,22748,UFA,Eric Houde,Eric Houde
Vladimir Vorobiev,22834,UFA,Vladimir Vorobiev,Vladimir Vorobiev
Craig Millar,22840,UFA,Craig Millar,Craig Millar
Jan Hrdina,22894,UFA,Jan Hrdina,Jan Hrdina
Sven Butenschon,22895,UFA,Sven Butenschon,Sven Butenschon
Lasse Pirjeta,22927,UFA,Lasse Pirjeta,Lasse Pirjeta
Shane Hnidy,22933,UFA,Shane Hnidy,Shane Hnidy
Alexandre Volchkov,22978,UFA,Alexandre Volchkov,Alexandre Volchkov
Daniel Tkaczuk,22979,UFA,Daniel Tkaczuk,Daniel Tkaczuk
Francis Bouillon,23003,UFA,Francis Bouillon,Francis Bouillon
Robert Esche,23035,UFA,Robert Esche,Robert Esche
Jesse Boulerice,23046,UFA,Jesse Boulerice,Jesse Boulerice
Brian Willsie,23060,UFA,Brian Willsie,Brian Willsie
Serge Payer,23090,UFA,Serge Payer,Serge Payer
Mattias Timander,23251,UFA,Mattias Timander,Mattias Timander
Dainius Zubrus,23252,UFA,Dainius Zubrus,Dainius Zubrus
Ben Clymer,23320,UFA,Ben Clymer,Ben Clymer
Richard Jackman,23560,UFA,Richard Jackman,Richard Jackman
Kai Nurminen,23708,UFA,Kai Nurminen,Kai Nurminen
Joe Thornton,23710,UFA,Joe Thornton,Joe Thornton
Patrick DesRochers,23711,UFA,Patrick DesRochers,Patrick DesRochers
Nick Boynton,23713,UFA,Nick Boynton,Nick Boynton
J.F. Fortin,23715,UFA,J.F. Fortin,J.F. Fortin
Mike Van Ryn,23718,UFA,Mike Van Ryn,Mike Van Ryn
Scott Barney,23719,UFA,Scott Barney,Scott Barney
Harold Druken,23720,UFA,Harold Druken,Harold Druken
Patrick Marleau,23724,S.J,Patrick Marleau,Patrick Marleau
Jeremy Reich,23725,UFA,Jeremy Reich,Jeremy Reich
Jason Ward,23726,MTL,Jason Ward,Jason Ward
Filip Kuba,23728,UFA,Filip Kuba,Filip Kuba
Jean-Yves Leroux,23898,UFA,Jean-Yves Leroux,Jean-Yves Leroux
D.J. Smith,23900,UFA,D.J. Smith,D.J. Smith
John Jakopin,23902,UFA,John Jakopin,John Jakopin
Frederic Henry,23903,UFA,Frederic Henry,Frederic Henry
Matt Cullen,23904,PIT,Matt Cullen,Matt Cullen
Eric Boulton,23908,UFA,Eric Boulton,Eric Boulton
Andy Delmore,23910,UFA,Andy Delmore,Andy Delmore
Derek Morris,23922,UFA,Derek Morris,Derek Morris
Danil Markov,23924,UFA,Danil Markov,Danil Markov
Brian Campbell,24075,UFA,Brian Campbell,Brian Campbell
Brent Johnson1,24078,UFA,Brent Johnson1,Brent Johnson1
Dan Snyder,24089,UFA,Dan Snyder,Dan Snyder
Adam Mair,24092,UFA,Adam Mair,Adam Mair
Zac Bierk,24098,UFA,Zac Bierk,Zac Bierk
Cameron Mann,24104,UFA,Cameron Mann,Cameron Mann
Shawn Thornton,24107,FLA,Shawn Thornton,Shawn Thornton
Jonathan Sim,24124,UFA,Jonathan Sim,Jonathan Sim
Trevor Letowski,24125,UFA,Trevor Letowski,Trevor Letowski
Rico Fata,24144,UFA,Rico Fata,Rico Fata
Steven Valiquette,24150,UFA,Steven Valiquette,Steven Valiquette
Matt Cooke,24173,UFA,Matt Cooke,Matt Cooke
Jeff Farkas,24460,UFA,Jeff Farkas,Jeff Farkas
Mark Parrish,24461,UFA,Mark Parrish,Mark Parrish
Brian Swanson,24462,UFA,Brian Swanson,Brian Swanson
Pete Vandermeer,24652,UFA,Pete Vandermeer,Pete Vandermeer
Trent Whitfield,24718,UFA,Trent Whitfield,Trent Whitfield
Andrei Markov,24720,UFA,Andrei Markov,Andrei Markov
Paul Mara,24722,UFA,Paul Mara,Paul Mara
Stefan Bergkvist,25027,UFA,Stefan Bergkvist,Stefan Bergkvist
Vladimir Orszagh,25030,UFA,Vladimir Orszagh,Vladimir Orszagh
Craig Adams,25067,UFA,Craig Adams,Craig Adams
Craig MacDonald,25068,UFA,Craig MacDonald,Craig MacDonald
Jeff Halpern,25076,UFA,Jeff Halpern,Jeff Halpern
Jason Williams,25856,UFA,Jason Williams,Jason Williams
Mark Bell,25869,UFA,Mark Bell,Mark Bell
Dan Hinote,25875,UFA,Dan Hinote,Dan Hinote
Bryan Allen,25877,UFA,Bryan Allen,Bryan Allen
Nikos Tselios,25885,UFA,Nikos Tselios,Nikos Tselios
Justin Papineau,25887,UFA,Justin Papineau,Justin Papineau
Steve Montador,25908,UFA,Steve Montador,Steve Montador
Chris Neil,25909,OTT,Chris Neil,Chris Neil
Manny Malhotra,25931,UFA,Manny Malhotra,Manny Malhotra
Sean Avery,25942,UFA,Sean Avery,Sean Avery
Curtis Sanford,25947,UFA,Curtis Sanford,Curtis Sanford
Michael Henrich,25951,UFA,Michael Henrich,Michael Henrich
Norm Milley,25968,UFA,Norm Milley,Norm Milley
Kip Brennan,26004,UFA,Kip Brennan,Kip Brennan
Shawn Horcoff,26126,UFA,Shawn Horcoff,Shawn Horcoff
Mike Weaver,26128,UFA,Mike Weaver,Mike Weaver
Brett Clark,26499,UFA,Brett Clark,Brett Clark
Jason Blake,26530,UFA,Jason Blake,Jason Blake
Brad Norton,26603,UFA,Brad Norton,Brad Norton
Mark Mowers,26652,UFA,Mark Mowers,Mark Mowers
Eric Nickulas,26653,UFA,Eric Nickulas,Eric Nickulas
Andy McDonald,26682,UFA,Andy McDonald,Andy McDonald
Richard Lintner,26790,UFA,Richard Lintner,Richard Lintner
Roberto Luongo,26791,FLA,Roberto Luongo,Roberto Luongo
Pavel Rosa,26796,UFA,Pavel Rosa,Pavel Rosa
Gordie Dwyer,26797,UFA,Gordie Dwyer,Gordie Dwyer
Peter Worrell,26800,UFA,Peter Worrell,Peter Worrell
Steve Begin,26801,UFA,Steve Begin,Steve Begin
Radoslav Suchy,26804,UFA,Radoslav Suchy,Radoslav Suchy
Stephane Robidas,26805,UFA,Stephane Robidas,Stephane Robidas
Derrick Walser,26808,UFA,Derrick Walser,Derrick Walser
Vincent Lecavalier,26809,UFA,Vincent Lecavalier,Vincent Lecavalier
Denis Hamel,26810,UFA,Denis Hamel,Denis Hamel
Jody Shelley,26815,UFA,Jody Shelley,Jody Shelley
Joel Kwiatkowski,26819,UFA,Joel Kwiatkowski,Joel Kwiatkowski
Brenden Morrow,26827,UFA,Brenden Morrow,Brenden Morrow
Brad Ference,26829,UFA,Brad Ference,Brad Ference
Travis Brigley,26833,UFA,Travis Brigley,Travis Brigley
Sergei Varlamov,26837,COL,Sergei Varlamov,Sergei Varlamov
Mike Brown1,26839,UFA,Mike Brown1,Mike Brown1
Ty Jones,26842,UFA,Ty Jones,Ty Jones
Eric Brewer,26844,UFA,Eric Brewer,Eric Brewer
Jean-Francois Damphousse,26846,UFA,Jean-Francois Damphousse,Jean-Francois Damphousse
Michel Larocque,27631,UFA,Michel Larocque,Michel Larocque
Steve Kariya,27639,UFA,Steve Kariya,Steve Kariya
Jason Krog,27657,UFA,Jason Krog,Jason Krog
Scott Swanson,27809,UFA,Scott Swanson,Scott Swanson
Paul Comrie,27821,UFA,Paul Comrie,Paul Comrie
Andre Savage,27831,UFA,Andre Savage,Andre Savage
Jarkko Ruutu,27832,UFA,Jarkko Ruutu,Jarkko Ruutu
Andy Sutton,27842,UFA,Andy Sutton,Andy Sutton
Mike Peluso2,27845,UFA,Mike Peluso2,Mike Peluso2
Brian Pothier,28207,UFA,Brian Pothier,Brian Pothier
Jeff Hamilton,28229,UFA,Jeff Hamilton,Jeff Hamilton
Juha Lind,28402,UFA,Juha Lind,Juha Lind
Olli Jokinen,28403,UFA,Olli Jokinen,Olli Jokinen
Magnus Arvedson,28404,UFA,Magnus Arvedson,Magnus Arvedson
Marian Hossa,28407,UTA,Marian Hossa,Marian Hossa
P.J. Stock,28418,UFA,P.J. Stock,P.J. Stock
Zdeno Chara,28487,NYI,Zdeno Chara,Zdeno Chara
Evgeni Nabokov,28489,UFA,Evgeni Nabokov,Evgeni Nabokov
Dale Purinton,28491,UFA,Dale Purinton,Dale Purinton
Jean-Sebastien Aubin,28496,UFA,Jean-Sebastien Aubin,Jean-Sebastien Aubin
Jiri Bicek,28498,UFA,Jiri Bicek,Jiri Bicek
Colin White1,28500,UFA,Colin White1,Colin White1
Jerred Smithson,28640,UFA,Jerred Smithson,Jerred Smithson
Chris Nielsen,28653,UFA,Chris Nielsen,Chris Nielsen
Scott Hannan,28679,UFA,Scott Hannan,Scott Hannan
Scott Parker,28680,UFA,Scott Parker,Scott Parker
Todd Fedoruk,28683,UFA,Todd Fedoruk,Todd Fedoruk
Bryce Salvador,28694,UFA,Bryce Salvador,Bryce Salvador
Martin Spanhel,28703,UFA,Martin Spanhel,Martin Spanhel
Reed Low,28737,UFA,Reed Low,Reed Low
Matt Davidson,28762,UFA,Matt Davidson,Matt Davidson
Ronald Petrovicky,28802,UFA,Ronald Petrovicky,Ronald Petrovicky
Tyler Bouck,28812,UFA,Tyler Bouck,Tyler Bouck
Chris Mason,28818,UFA,Chris Mason,Chris Mason
Jay Henderson,28820,UFA,Jay Henderson,Jay Henderson
Brad Leeb,28823,UFA,Brad Leeb,Brad Leeb
Stephen Peat,28833,UFA,Stephen Peat,Stephen Peat
Kyle Calder,28846,UFA,Kyle Calder,Kyle Calder
Brad Stuart,28857,UFA,Brad Stuart,Brad Stuart
Rick Berry,28887,UFA,Rick Berry,Rick Berry
David Aebischer,29051,UFA,David Aebischer,David Aebischer
Pavel Kubina,29093,UFA,Pavel Kubina,Pavel Kubina
Oleg Kvasha,29094,UFA,Oleg Kvasha,Oleg Kvasha
Marco Sturm,29095,UFA,Marco Sturm,Marco Sturm
Jani Hurme,29109,UFA,Jani Hurme,Jani Hurme
Kris Beech,29125,UFA,Kris Beech,Kris Beech
Darcy Hordichuk,29130,UFA,Darcy Hordichuk,Darcy Hordichuk
Steve McCarthy,29144,UFA,Steve McCarthy,Steve McCarthy
Robyn Regehr,29154,UFA,Robyn Regehr,Robyn Regehr
Quintin Laing,29161,UFA,Quintin Laing,Quintin Laing
Nolan Yonkman,29172,UFA,Nolan Yonkman,Nolan Yonkman
Ross Lupaschuk,29177,UFA,Ross Lupaschuk,Ross Lupaschuk
Jason Chimera,29188,UFA,Jason Chimera,Jason Chimera
Jason LaBarbera,29212,UFA,Jason LaBarbera,Jason LaBarbera
Blair Betts,29227,UFA,Blair Betts,Blair Betts
Justin Mapletoft,29240,UFA,Justin Mapletoft,Justin Mapletoft
Scott Kelman,29276,UFA,Scott Kelman,Scott Kelman
Marian Cisar,29278,UFA,Marian Cisar,Marian Cisar
Marc Brown,29280,UFA,Marc Brown,Marc Brown
Michal Rozsival,29289,CHI,Michal Rozsival,Michal Rozsival
Lawrence Nycholat,29290,UFA,Lawrence Nycholat,Lawrence Nycholat
Mark Smith,29302,UFA,Mark Smith,Mark Smith
Mike Mottau,29303,UFA,Mike Mottau,Mike Mottau
Ben Guite,29321,UFA,Ben Guite,Ben Guite
Alfie Michaud,29328,UFA,Alfie Michaud,Alfie Michaud
Simon Gagne,29376,UFA,Simon Gagne,Simon Gagne
Ramzi Abid,29408,UFA,Ramzi Abid,Ramzi Abid
Lubos Bartecko,29431,UFA,Lubos Bartecko,Lubos Bartecko
Alex Tanguay,29482,UTA,Alex Tanguay,Alex Tanguay
Jonathan Girard,29525,UFA,Jonathan Girard,Jonathan Girard
Pierre Dagenais,29526,UFA,Pierre Dagenais,Pierre Dagenais
Francois Beauchemin,29527,UFA,Francois Beauchemi,Francois Beauchemin
Ryan Flinn,29538,UFA,Ryan Flinn,Ryan Flinn
Eric Chouinard,29546,UFA,Eric Chouinard,Eric Chouinard
Eric Belanger,29579,UFA,Eric Belanger,Eric Belanger
Philippe Sauve,29599,UFA,Philippe Sauve,Philippe Sauve
Pascal Dupuis,29605,UFA,Pascal Dupuis,Pascal Dupuis
Sebastien Charpentier,29635,UFA,Sebastien Charpentier,Sebastien Charpentier
Mathieu Chouinard,29641,UFA,Mathieu Chouinard,Mathieu Chouinard
Jean-Luc Grand-Pierre,29673,UFA,Jean-Luc Grand-Pierre,Jean-Luc Grand-Pierre
Francis Lessard,29682,UFA,Francis Lessard,Francis Lessard
Fernando Pisani,29966,UFA,Fernando Pisani,Fernando Pisani
Raitis Ivanans,30112,UFA,Raitis Ivanans,Raitis Ivanans
Marko Makinen,30157,UFA,Marko Makinen,Marko Makinen
Tomas Kaberle,30372,UFA,Tomas Kaberle,Tomas Kaberle
Ronnie Sundin,30373,UFA,Ronnie Sundin,Ronnie Sundin
Michal Handzus,30375,UFA,Michal Handzus,Michal Handzus
Ivan Ciernik,30376,UFA,Ivan Ciernik,Ivan Ciernik
Pelle Eklund,30377,UFA,Pelle Eklund,Pelle Eklund
Ville Nieminen,30378,UFA,Ville Nieminen,Ville Nieminen
Wade Brookbank,30382,UFA,Wade Brookbank,Wade Brookbank
Toby Petersen,30633,UFA,Toby Petersen,Toby Petersen
Jochen Hecht,30663,UFA,Jochen Hecht,Jochen Hecht
Tony Virta,30687,UFA,Tony Virta,Tony Virta
J.P. Vigier,30781,UFA,J.P. Vigier,J.P. Vigier
Steven Reinprecht,30799,UFA,Steven Reinprecht,Steven Reinprecht
Dusan Salficky,30857,UFA,Dusan Salficky,Dusan Salficky
Patrik Stefan,30952,UFA,Patrik Stefan,Patrik Stefan
Ryan Craig,30987,UFA,Ryan Craig,Ryan Craig
Barret Jackman,30993,UFA,Barret Jackman,Barret Jackman
Garth Murray,31004,UFA,Garth Murray,Garth Murray
Scott Hartnell,31033,UFA,Scott Hartnell,Scott Hartnell
Kyle Wanvig,31053,UFA,Kyle Wanvig,Kyle Wanvig
Jarret Stoll,31058,UFA,Jarret Stoll,Jarret Stoll
Jim Vandermeer,31072,UFA,Jim Vandermeer,Jim Vandermeer
Eric Godard,31088,UFA,Eric Godard,Eric Godard
Trent Hunter,31114,UFA,Trent Hunter,Trent Hunter
Andrew Ference,31124,UFA,Andrew Ference,Andrew Ference
Matt Walker,31126,UFA,Matt Walker,Matt Walker
Vernon Fiddler,31148,NSH,Vernon Fiddler,Vernon Fiddler
Kiel McLeod,31155,UFA,Kiel McLeod,Kiel McLeod
Jared Aulin,31167,UFA,Jared Aulin,Jared Aulin
Scott Gomez,31170,UFA,Scott Gomez,Scott Gomez
Josef Melichar,31171,UFA,Josef Melichar,Josef Melichar
Matt Carkner,31187,UFA,Matt Carkner,Matt Carkner
Kurtis Foster,31189,UFA,Kurtis Foster,Kurtis Foster
Andrew Peters,31206,UFA,Andrew Peters,Andrew Peters
Jonathan Cheechoo,31215,UFA,Jonathan Cheechoo,Jonathan Cheechoo
Branislav Mezei,31220,UFA,Branislav Mezei,Branislav Mezei
Matt Ellis,31656,UFA,Matt Ellis,Matt Ellis
Andreas Salomonsson,31672,UFA,Andreas Salomonsson,Andreas Salomonsson
Mike Zigomanis,31714,UFA,Mike Zigomanis,Mike Zigomanis
Charlie Stephens,31723,UFA,Charlie Stephens,Charlie Stephens
Mike Danton,31726,UFA,Mike Danton,Mike Danton
Andre Lakos,31729,UFA,Andre Lakos,Andre Lakos
Brian McGrattan,31753,UFA,Brian McGrattan,Brian McGrattan
Joel Ward,31758,UFA,Joel Ward,Joel Ward
Martin Skoula,31764,UFA,Martin Skoula,Martin Skoula
Brian Finley,31770,UFA,Brian Finley,Brian Finley
Mike Fisher,31775,UFA,Mike Fisher,Mike Fisher
Taylor Pyatt,31777,UFA,Taylor Pyatt,Taylor Pyatt
Ryan Barnes,31778,UFA,Ryan Barnes,Ryan Barnes
Derek MacKenzie,31779,FLA,Derek MacKenzie,Derek MacKenzie
Andrew Raycroft,31782,UFA,Andrew Raycroft,Andrew Raycroft
Rob Davison,31791,UFA,Rob Davison,Rob Davison
Alex Auld,31798,UFA,Alex Auld,Alex Auld
Ryan Jardine,31799,UFA,Ryan Jardine,Ryan Jardine
Jeff Heerema,31809,UFA,Jeff Heerema,Jeff Heerema
Ivan Novoseltsev,31810,UFA,Ivan Novoseltsev,Ivan Novoseltsev
David Legwand,31823,UFA,David Legwand,David Legwand
Tim Connolly,31850,UFA,Tim Connolly,Tim Connolly
Mike Rupp,31851,UFA,Mike Rupp,Mike Rupp
Tom Kostopoulos,31863,UFA,Tom Kostopoulos,Tom Kostopoulos
Krys Barch,31864,UFA,Krys Barch,Krys Barch
Chris Kelly,31865,OTT,Chris Kelly,Chris Kelly
Alex Henry,31869,UFA,Alex Henry,Alex Henry
John Erskine,31871,UFA,John Erskine,John Erskine
Patrick Fischer,32682,UFA,Patrick Fischer,Patrick Fischer
Mark Streit,32708,MTL,Mark Streit,Mark Streit
Mathieu Darche,33293,UFA,Mathieu Darche,Mathieu Darche
Josh Langfeld,33865,UFA,Josh Langfeld,Josh Langfeld
Mark Eaton,33880,UFA,Mark Eaton,Mark Eaton
Mark Rycroft,33895,UFA,Mark Rycroft,Mark Rycroft
Duvie Westcott,33926,UFA,Duvie Westcott,Duvie Westcott
Erik Westrum,33937,UFA,Erik Westrum,Erik Westrum
Brad DeFauw,33950,UFA,Brad DeFauw,Brad DeFauw
Mike Commodore,33952,UFA,Mike Commodore,Mike Commodore
Alex Brooks,33957,UFA,Alex Brooks,Alex Brooks
Mika Noronen,33995,UFA,Mika Noronen,Mika Noronen
Pierre Hedin,33996,UFA,Pierre Hedin,Pierre Hedin
Maxim Afinogenov,33997,UFA,Maxim Afinogenov,Maxim Afinogenov
Maxim Balmochnykh,33998,UFA,Maxim Balmochnykh,Maxim Balmochnykh
Artem Chubarov,34000,UFA,Artem Chubarov,Artem Chubarov
Vitali Vishnevsky,34001,UFA,Vitali Vishnevsky,Vitali Vishnevsky
Daniel Sedin,34004,UFA,Daniel Sedin,Daniel Sedin
Denis Shvidki,34005,UFA,Denis Shvidki,Denis Shvidki
Henrik Sedin,34007,UFA,Henrik Sedin,Henrik Sedin
Eero Somervuori,34008,UFA,Eero Somervuori,Eero Somervuori
Tom Koivisto,34074,UFA,Tom Koivisto,Tom Koivisto
Niko Kapanen,34083,UFA,Niko Kapanen,Niko Kapanen
Mikko Eloranta,34093,UFA,Mikko Eloranta,Mikko Eloranta
Jarno Kultanen,34198,UFA,Jarno Kultanen,Jarno Kultanen
Erik Cole,35409,DET,Erik Cole,Erik Cole
Kent Huskins,35411,UFA,Kent Huskins,Kent Huskins
Cory Murphy,35414,UFA,Cory Murphy,Cory Murphy
Willie Mitchell,35430,UFA,Willie Mitchell,Willie Mitchell
Steve Moore,35438,UFA,Steve Moore,Steve Moore
Brad Tapper,35451,UFA,Brad Tapper,Brad Tapper
Brian Gionta,35504,UFA,Brian Gionta,Brian Gionta
Bobby Allen,35505,UFA,Bobby Allen,Bobby Allen
Rob Scuderi,35507,L.A,Rob Scuderi,Rob Scuderi
Scott Clemmensen,35510,UFA,Scott Clemmensen,Scott Clemmensen
Jay Leach,35553,UFA,Jay Leach,Jay Leach
Joe DiPenta,35562,UFA,Joe DiPenta,Joe DiPenta
Marc-Andre Bergeron,35604,UFA,Marc-Andre Bergeron,Marc-Andre Bergeron
Bruno St. Jacques,35607,UFA,Bruno St. Jacques,Bruno St. Jacques
Brandon Reid,35667,UFA,Brandon Reid,Brandon Reid
Joey MacDonald,35678,UFA,Joey MacDonald,Joey MacDonald
Michael Ryder,35679,UFA,Michael Ryder,Michael Ryder
Jiri Fischer,35683,UFA,Jiri Fischer,Jiri Fischer
Alexei Tezikov,35701,UFA,Alexei Tezikov,Alexei Tezikov
Martin Grenier,35715,UFA,Martin Grenier,Martin Grenier
Maxime Ouellet,35723,UFA,Maxime Ouellet,Maxime Ouellet
Brad Richards,35725,DET,Brad Richards,Brad Richards
Mike Ribeiro,35733,NSH,Mike Ribeiro,Mike Ribeiro
Mathieu Biron,35745,UFA,Mathieu Biron,Mathieu Biron
Dany Sabourin,35765,UFA,Dany Sabourin,Dany Sabourin
Michel Riesen,36241,UFA,Michel Riesen,Michel Riesen
Michael Holmqvist,36943,UFA,Michael Holmqvist,Michael Holmqvist
Kristian Huselius,36946,UFA,Kristian Huselius,Kristian Huselius
Henrik Tallinder,36947,UFA,Henrik Tallinder,Henrik Tallinder
Yuri Butsayev,36948,UFA,Yuri Butsayev,Yuri Butsayev
Roman Lyashenko,36950,UFA,Roman Lyashenko,Roman Lyashenko
Petr Sykora2,36953,UFA,Petr Sykora2,Petr Sykora2
Johan Holmqvist,36962,UFA,Johan Holmqvist,Johan Holmqvist
Ladislav Nagy,36963,UFA,Ladislav Nagy,Ladislav Nagy
